Areas,Latitude,Longtitude,Population
Mexico City,19.4326,-99.1332,21804515
New York,40.7128,-74.006,21718431
Los Angeles,34.0522,-118.2437,18316743
Washington DC,38.9072,-77.0369,9960316
Chicago,41.8781,-87.6298,9647959
Dallas,32.7767,-96.797,8246944
Boston,42.3601,-71.0589,8122937
Houston,29.7604,-95.3698,7510253
Philadelphia,39.9526,-75.1652,7390919
Miami,25.7617,-80.1918,6889895
Atlanta,33.749,-84.388,6846701
Toronto,43.6511,-79.3837,6804847
San Francisco,37.7749,-122.4194,6512728
Monterrey,25.6866,-100.3161,5341171
Detroit,42.3314,-83.0458,5331247
Guadalajara,20.6597,-103.3496,5286642
Phoenix,33.4484,-112.074,5070110
Seattle,47.6062,-122.3321,4752915
Orlando,28.5383,-81.3792,4509624
Montreal,45.5017,-73.5673,4502177
Minneapolis,44.9778,-93.265,3914597
Denver,39.7392,-104.9903,3691404
Cleveland,41.4993,-81.6944,3370642
Tampa,27.9506,-82.4572,3342963
Portland,45.5051,-122.675,3286291
San Diego,32.7157,-117.1611,3269973
Puebla,19.0414,-98.2063,3199530
Charlotte,35.2271,-80.8431,3175145
"Vancouver, CA",49.2827,-123.1207,2971853
St Louis,38.627,-90.1994,2917674
San Antonio,29.4241,-98.4936,2703999
Salt Lake City,40.7608,-111.891,2658194
Sacramento,38.5816,-121.4944,2604278
Pittsburgh,40.4406,-79.9959,2536269
Austin,30.2672,-97.7431,2473275
Kansas City,39.0997,-94.5786,2460371
New Haven,41.3083,-72.9279,2455463
Indianapolis,39.7684,-86.1581,2418623
Toluca,19.2826,-99.6557,2353924
Las Vegas,36.1699,-115.1398,2336573
Cincinnati,39.1031,-84.512,2271479
Columbus,39.9612,-82.9988,2180271
Tijuana,32.5149,-117.0382,2157853
Raleigh-Durham,35.7796,-78.6382,2118110
Nashville,36.1627,-86.7816,2102573
San Juan,18.4655,-66.1057,2035733
Leon,21.1619,-101.6868,1924771
Virginia Beach,36.8529,-75.978,1787169
Milwaukee,43.0389,-87.9065,1757037
Jacksonville,30.3322,-81.6557,1713240
Calgary,51.0447,-114.0719,1682509
Greensboro,36.0726,-79.792,1664637
Ottawa,45.4215,-75.6972,1609805
Queretaro,20.5888,-100.3899,1594212
"Edmonton, CA",53.5461,-113.4938,1563571
Juarez,31.6904,-106.4245,1512450
Louisville,38.2527,-85.7585,1493133
Oklahoma City,35.4676,-97.5164,1477926
La Laguna,25.5428,-103.4068,1434283
Greenville,34.8526,-82.394,1358807
Richmond,37.5407,-77.436,1349732
Grand Rapids,42.9634,-85.6681,1339514
Memphis,35.1495,-90.049,1335674
Fresno,36.7378,-119.7871,1332702
Harrisburg,40.2732,-76.8867,1321695
Merida,20.9674,-89.5926,1316088
San Luis Potosi,22.1566,-100.9855,1271366
Cape Coral,26.5629,-81.9495,1238883
New Orleans,29.9511,-90.0715,1237748
Aguascalientes,21.8853,-102.2916,1225432
Birmingham,33.5186,-86.8104,1184290
Buffalo,42.8864,-78.8784,1155604
North Port,27.0442,-82.2359,1116242
El Paso,31.7619,-106.485,1098541
Albuquerque,35.0844,-106.6504,1078252
Knoxville,35.9606,-83.9207,1070318
Tucson,32.2226,-110.9747,1063162
Rochester,43.1566,-77.6088,1052087
Mexicali,32.6245,-115.4523,1049792
Tulsa,36.1539,-95.9928,1044757
Saltillo,25.4382,-100.9857,1031589
Albany,42.6526,-73.7562,1030119
Cuernavaca,18.9261,-99.2308,1028589
Baton Rouge,30.4515,-91.1871,1011725
Culiacán,24.8091,-107.394,1003530
Honolulu,21.3069,-157.8583,989408
Morelia,19.7008,-101.186,988704
Chihuahua,28.632,-106.0691,988065
Omaha,41.2565,-95.9345,983969
Columbia,34.0007,-81.0348,962467
Dayton,39.7589,-84.1916,948973
Veracruz,19.1738,-96.1342,939046
Hermosillo,29.0729,-110.9559,936263
Cancun,21.1619,-86.8515,934189
Tampico,22.2334,-97.8614,927379
Bakersfield,35.3733,-119.0187,913820
"Winnipeg, CA",49.8951,-97.1384,910240
McAllen,26.2034,-98.23,898471
Quebec,46.8139,-71.2082,880875
Allentown,40.6084,-75.4902,873555
Des Moines,41.5868,-93.625,862320
Madison,43.0731,-89.4012,859123
Acapulco,16.8531,-99.8237,852622
"Charleston, SC",32.7765,-79.9311,849417
Tuxtla,16.7539,-93.1112,848274
"Hamilton, CA",43.2557,-79.8711,841186
Reynosa,26.0922,-98.277,837251
Villahermosa,17.9892,-92.9475,833907
Boise City,43.615,-116.2023,824657
Spokane,47.6588,-117.426,785302
Xalapa,19.5424,-96.9102,778139
Colorado Springs,38.8339,-104.8214,768832
Celaya,20.5222,-100.8113,767104
Little Rock,34.7465,-92.2896,765045
Chattanooga,35.0456,-85.3097,725693
Oaxaca,17.0732,-96.7266,713925
Durango,24.0277,-104.6532,688697
Huntsville,34.7304,-86.5861,685889
South Bend,41.6764,-86.252,683061
"Portland, ME",43.6591,-70.2568,680085
Pachuca,20.1011,-98.7591,665929
"Kitchener, CA",43.4516,-80.4925,665188
Daphne,30.6035,-87.9036,665147
Syracuse,43.0481,-76.1474,652956
Wichita,37.6872,-97.3301,652939
Palm Bay,28.0345,-80.5887,643979
Augusta,33.4735,-82.0105,629429
Reno,39.5296,-119.8138,622818
Springfield,37.2081,-93.2923,622703
Jackson,32.2988,-90.1848,610257
"London, CA",42.9849,-81.2453,608343
Toledo,41.6528,-83.5379,600141
Charleston-Huntington,38.349497,-81.633294,589425
Tlaxcala,19.3139,-98.2417,570308
Scranton,41.4086,-75.6624,569413
Lancaster,40.0379,-76.3055,558589
Matamoros,25.8693,-97.5027,541979
Pensacola,30.4213,-87.2169,530090
Johnson City,36.3134,-82.3535,526133
"Columbus, GA",32.492222,-84.940277,525353
Poza Rica,20.5331,-97.4595,521530
Lexington,38.0406,-84.5037,520045
Halifax,44.6488,-63.5752,518711
Savannah,32.0809,-81.0912,513739
Mazatlan,23.2494,-106.4111,501441
Killeen-Temple,31.1171,-97.7278,501333
Fayetteville,36.0822,-94.1719,499144
Tepic,21.5067,-104.8943,491153
"Springfield, MO",37.2081,-93.2923,491053
Cuautla,18.8124,-98.9543,483455
Santa Rosa,38.4405,-122.7144,481812
Puerto Vallarta,20.6534,-105.2253,479471
Visalia,36.3302,-119.2921,479468
St. Catharines,43.1594,-79.2469,478261
Lansing,42.7325,-84.5555,473177
Windsor,42.3149,-83.0364,467973
"Wilmington, NC",34.2257,-77.9447,467337
Orizaba,18.8513,-97.0995,465175
Oshawa,43.8971,-78.8658,464356
Fort Wayne,41.0793,-85.1394,457843
Cedar Rapids,41.9779,-91.6656,455756
Vallejo,38.1041,-122.2566,449218
Corpus Christi,27.8006,-97.3964,448323
Ensenada,31.8667,-116.5964,443807
Santa Maria,34.953,-120.4357,441257
Macon-Bibb,32.8407,-83.6324,436853
Salinas,36.6777,-121.6555,430723
Brownsville,25.9017,-97.4975,426710
Youngstown,41.0998,-80.6495,425969
Nuevo Laredo,27.5064,-99.5075,425058
Gulfport-Biloxi,30.3674,-89.0928,421916
Appleton,44.2619,-88.4154,418168
Asheville,35.5951,-82.5515,417203
Lafayette,30.2241,-92.0198,414288
Ocala,29.1872,-82.1401,409959
Zacatecas,22.7709,-102.5832,405285
Anchorage,61.2181,-149.9003,401314
Myrtle Beach,33.6891,-78.8867,397478
Kalamazoo,42.2917,-85.5872,395581
Beaumont-Port Arthur,30.0802,-94.1266,395479
Tallahassee,30.4383,-84.2807,392645
Montgomery,32.3792,-86.3077,385480
Shreveport,32.5252,-93.7502,383295
Eugene,44.0521,-123.0868,381181
Colima,19.2433,-103.725,380575
Davenport,41.5236,-90.5776,379441
Kennewick,46.2112,-119.1372,375821
Monclova,26.9069,-101.4209,375247
Saginaw,43.4195,-83.9508,374312
Fort Collins,40.5853,-105.0844,370771
"Columbia, MO",38.9517,-92.3341,367244
Victoria,48.4284,-123.3656,364808
Peoria,40.6936,-89.589,362240
Lubbock,33.5779,-101.8552,360104
Minatitlan,17.9869,-94.5561,359228
Tehuacan,18.4629,-97.3974,357621
Coatzacoalcos,18.1523,-94.4371,355738
Tapachula,14.901,-92.2571,353706
"Gainesville, FL",29.6516,-82.3248,352126
Saskatoon,52.1332,-106.67,352093